date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-01-26,USA-06037,Los Angeles,California,1,0.14,0.0,0,0.0,0.0
2020-01-27,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-01-28,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-01-29,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-01-30,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-01-31,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-02-01,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-02-02,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-02-03,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-02-04,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-02-05,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-02-06,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-02-07,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-02-08,USA-06037,Los Angeles,California,0,0.14,0.0,0,0.0,0.0
2020-02-09,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-10,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-11,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-12,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-13,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-14,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-15,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-16,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-17,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-18,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-19,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-20,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-21,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-22,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-23,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-24,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-25,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-26,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-27,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-28,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-02-29,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-03-01,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-03-02,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-03-03,USA-06037,Los Angeles,California,0,0.0,0.0,0,0.0,0.0
2020-03-04,USA-06037,Los Angeles,California,6,0.6,0.01,0,0.0,0.0
2020-03-05,USA-06037,Los Angeles,California,4,0.91,0.01,0,0.0,0.0
2020-03-06,USA-06037,Los Angeles,California,2,1.0,0.01,0,0.0,0.0
2020-03-07,USA-06037,Los Angeles,California,1,1.0,0.01,0,0.0,0.0
2020-03-08,USA-06037,Los Angeles,California,0,1.0,0.01,0,0.0,0.0
2020-03-09,USA-06037,Los Angeles,California,5,1.2,0.01,0,0.0,0.0
